,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__criterion,param_classify__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03385825157165527,0.0013528985531167717,0.003935909271240235,0.0001941264099358639,gini,2,"{'classify__criterion': 'gini', 'classify__max_depth': 2}",0.8847336065573771,0.8862704918032787,0.8908811475409836,0.889344262295082,0.8898001025115325,0.8882059221416508,0.002315034617682706,7,0.8894581785577046,0.8889458178557704,0.8883053669783527,0.8881772768028692,0.8884477459016393,0.8886668772192673,0.000473789498257217
1,0.04035606384277344,0.001051405158237718,0.004077339172363281,0.0002582644692578589,gini,4,"{'classify__criterion': 'gini', 'classify__max_depth': 4}",0.8908811475409836,0.8965163934426229,0.9052254098360656,0.8995901639344263,0.8980010251153254,0.8980428279738847,0.004639076357679962,2,0.9035480978608941,0.9044447290892789,0.901626745228641,0.903291917509927,0.9047131147540983,0.9035249208885677,0.0010877270218784387
2,0.04564852714538574,0.00021869653726401019,0.0037865638732910156,0.00017045204368855882,gini,6,"{'classify__criterion': 'gini', 'classify__max_depth': 6}",0.8898565573770492,0.8939549180327869,0.9052254098360656,0.9021516393442623,0.9056893900563814,0.8993755829293091,0.006352740823941259,1,0.9173818368131165,0.9155885743563469,0.9134110413731267,0.914435762776995,0.9155993852459017,0.9152833201130974,0.0013282041092831079
3,0.05189394950866699,0.001482706016917695,0.0036980152130126954,6.89508179574264e-05,gini,8,"{'classify__criterion': 'gini', 'classify__max_depth': 8}",0.8837090163934426,0.8934426229508197,0.9011270491803278,0.8842213114754098,0.8923628908252178,0.8909725781650435,0.006472809338478153,5,0.935058281029845,0.9304470347124375,0.9314717561163058,0.9346740105033944,0.9364754098360656,0.9336252984396097,0.0022810294135136547
4,0.057197952270507814,0.001348894721462739,0.003628063201904297,6.043154294802086e-05,gini,10,"{'classify__criterion': 'gini', 'classify__max_depth': 10}",0.875,0.8837090163934426,0.8816598360655737,0.8816598360655737,0.8780112762685802,0.8800079929586341,0.00310553109077845,10,0.955680799282695,0.954271807352376,0.9533751761239913,0.9564493403355963,0.9588883196721312,0.9557330885533579,0.0019061126917979438
5,0.0604090690612793,0.003366030746753211,0.003891468048095703,0.00021971919458010057,gini,12,"{'classify__criterion': 'gini', 'classify__max_depth': 12}",0.867827868852459,0.8801229508196722,0.875,0.867827868852459,0.8662224500256279,0.8714002277100438,0.005317464364727718,12,0.9715639810426541,0.9719482515691047,0.9766875880619956,0.9731010631484566,0.977843237704918,0.9742288243054258,0.002556706877254788
6,0.062321949005126956,0.003295340946879157,0.0037096023559570314,0.00010776935417464357,gini,14,"{'classify__criterion': 'gini', 'classify__max_depth': 14}",0.8586065573770492,0.8760245901639344,0.8714139344262295,0.8647540983606558,0.8580215274218349,0.8657641415499407,0.0070625241561124725,15,0.9829640066606892,0.9827078263097221,0.988856154732932,0.9832201870116563,0.9906506147540983,0.9856797578938196,0.00337804931373403
7,0.06322641372680664,0.003665320912955132,0.003784799575805664,0.00016080336154546454,gini,16,"{'classify__criterion': 'gini', 'classify__max_depth': 16}",0.850922131147541,0.8719262295081968,0.8698770491803278,0.8657786885245902,0.859046642747309,0.8635101482215928,0.007679781014104119,16,0.9914179582426028,0.9912898680671193,0.993595491225823,0.9896246957858332,0.9960297131147541,0.9923915452872265,0.002213719564824879
8,0.06480727195739747,0.004133682891192069,0.003824281692504883,0.0001115808527652685,gini,18,"{'classify__criterion': 'gini', 'classify__max_depth': 18}",0.8586065573770492,0.8637295081967213,0.8683401639344263,0.8565573770491803,0.8575089697590978,0.860948515263295,0.0044489937425232174,19,0.9961572947354937,0.9966696554374279,0.9957730242090431,0.9941078519277572,0.9988473360655737,0.9963110324750591,0.0015315703733928374
9,0.06398572921752929,0.003234860781087224,0.0036544322967529295,6.564809575810698e-05,gini,20,"{'classify__criterion': 'gini', 'classify__max_depth': 20}",0.8565573770491803,0.8673155737704918,0.8637295081967213,0.8565573770491803,0.8534085084572014,0.8595136689045549,0.00516517816983582,20,0.9980786473677469,0.9998719098245165,0.996925835788395,0.9978224670167798,0.9998719262295082,0.9985141572453893,0.0011728510525201483
10,0.03488278388977051,0.0008992938952460152,0.003585052490234375,0.00017201079463333532,entropy,2,"{'classify__criterion': 'entropy', 'classify__max_depth': 2}",0.8837090163934426,0.8867827868852459,0.8755122950819673,0.8883196721311475,0.8887749871860584,0.8846197515355723,0.0048869073902007175,8,0.8889458178557704,0.8880491866273856,0.881260407326758,0.887664916100935,0.8876793032786885,0.8867199262379074,0.002769161734760507
11,0.043964815139770505,0.0007236616730857038,0.0037049770355224608,0.00020334907202815554,entropy,4,"{'classify__criterion': 'entropy', 'classify__max_depth': 4}",0.8867827868852459,0.8934426229508197,0.8924180327868853,0.8954918032786885,0.8959507944643772,0.8928172080732033,0.0032844344090322327,4,0.8993211220699372,0.9004739336492891,0.8948379659280133,0.8973997694376842,0.9018954918032787,0.8987856565776404,0.0024622356720900916
12,0.051463985443115236,0.0009136598211021933,0.003592109680175781,8.889689860091064e-05,entropy,6,"{'classify__criterion': 'entropy', 'classify__max_depth': 6}",0.8965163934426229,0.8970286885245902,0.8929303278688525,0.8995901639344263,0.902101486417222,0.8976334120375427,0.0030830176261125186,3,0.9107211476879723,0.9125144101447419,0.9082874343537851,0.9125144101447419,0.9123975409836066,0.9112869886629695,0.0016470552818553142
