,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__max_depth,param_classify__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.6867778778076172,0.04460408882125422,0.005819368362426758,0.0003656035965069538,2,0.6,"{'classify__max_depth': 2, 'classify__subsample': 0.6}",0.8949795081967213,0.8970286885245902,0.8980532786885246,0.8965163934426229,0.9031266017426961,0.8979408941190311,0.0027761599973369225,17,0.907775073651851,0.907775073651851,0.9073908031254003,0.9072627129499168,0.9091956967213115,0.907879872020066,0.0006889751435234593
1,0.7205972671508789,0.019480320737300345,0.005555963516235352,0.000457031056149543,2,0.7,"{'classify__max_depth': 2, 'classify__subsample': 0.7}",0.8965163934426229,0.9001024590163934,0.8995901639344263,0.8970286885245902,0.9036391594054332,0.8993753728646932,0.0025469729432615767,7,0.9073908031254003,0.9079031638273345,0.9086717048802356,0.9087997950557192,0.9088114754098361,0.908315388459705,0.0005714018886626914
2,0.770295524597168,0.01815791832206585,0.005541324615478516,0.00015799472347320005,2,0.8,"{'classify__max_depth': 2, 'classify__subsample': 0.8}",0.8949795081967213,0.9011270491803278,0.8980532786885246,0.891905737704918,0.9000512557662738,0.8972233659073531,0.0033833866612947333,20,0.908031254002818,0.9087997950557192,0.9103368771615217,0.9087997950557192,0.9079149590163934,0.9087765360584343,0.0008641188184143264
3,0.8315174579620361,0.01308111914239321,0.005934906005859375,0.00023100879954846842,2,0.9,"{'classify__max_depth': 2, 'classify__subsample': 0.9}",0.9016393442622951,0.8975409836065574,0.9001024590163934,0.8960040983606558,0.902614044079959,0.8995801858651721,0.0024764468864829736,6,0.9072627129499168,0.9084155245292687,0.907775073651851,0.9082874343537851,0.9072745901639344,0.9078030671297512,0.00048616249378379754
4,0.8700569629669189,0.03070352517982113,0.005665254592895508,0.00028853327001288976,2,1.0,"{'classify__max_depth': 2, 'classify__subsample': 1.0}",0.8995901639344263,0.9001024590163934,0.9001024590163934,0.8970286885245902,0.9031266017426961,0.8999900744468998,0.001938700547224161,5,0.9071346227744332,0.9091840655821698,0.9095683361086204,0.9100806968105546,0.906890368852459,0.9085716180256476,0.0013067066893401422
5,0.9509460926055908,0.014306486662405311,0.006661272048950196,0.0006649913566031623,3,0.6,"{'classify__max_depth': 3, 'classify__subsample': 0.6}",0.8934426229508197,0.899077868852459,0.9001024590163934,0.8949795081967213,0.9036391594054332,0.8982483236843652,0.0036596990865257173,16,0.9217369027795568,0.922505443832458,0.9207121813756884,0.9212245420776226,0.9198258196721312,0.9212009779474915,0.000907676628518433
6,1.0155533313751222,0.019962420652450064,0.006212282180786133,0.0002905600249167142,3,0.7,"{'classify__max_depth': 3, 'classify__subsample': 0.7}",0.8929303278688525,0.8949795081967213,0.9036885245901639,0.8970286885245902,0.9072270630445926,0.8991708224449841,0.005411326467450698,9,0.919431279620853,0.9226335340079416,0.920840271551172,0.9228897143589087,0.9188012295081968,0.9209192058094144,0.0016448588807643025
7,1.1694243907928468,0.01676779120812488,0.0066454410552978516,0.0005543616804484706,3,0.8,"{'classify__max_depth': 3, 'classify__subsample': 0.8}",0.8980532786885246,0.8980532786885246,0.9011270491803278,0.8939549180327869,0.9031266017426961,0.898863025266572,0.003121050602264225,12,0.9222492634814909,0.9228897143589087,0.9186627385679519,0.920840271551172,0.9198258196721312,0.920893561526331,0.0015454473451092503
8,1.1912909507751466,0.032347891179039884,0.0062827587127685545,0.000645697402852799,3,0.9,"{'classify__max_depth': 3, 'classify__subsample': 0.9}",0.8954918032786885,0.8965163934426229,0.9011270491803278,0.8949795081967213,0.9051768323936443,0.8986583172984011,0.003917498216957994,14,0.9217369027795568,0.9237863455872934,0.9209683617266555,0.9227616241834251,0.9195696721311475,0.9217645812816156,0.0014514808516647708
9,1.2374095916748047,0.010571020966605322,0.006276845932006836,0.00013416091181536163,3,1.0,"{'classify__max_depth': 3, 'classify__subsample': 1.0}",0.8985655737704918,0.9006147540983607,0.9052254098360656,0.8980532786885246,0.9041517170681702,0.9013221466923225,0.0028991905167751212,1,0.9214807224285897,0.9219930831305239,0.9199436403227872,0.9234020750608428,0.9194415983606558,0.9212522238606798,0.0014292445426220093
10,1.108118724822998,0.011222667009604418,0.006708288192749023,0.0002635163493122446,4,0.6,"{'classify__max_depth': 4, 'classify__subsample': 0.6}",0.8929303278688525,0.8970286885245902,0.8995901639344263,0.8980532786885246,0.9082521783700667,0.8991709274772921,0.00504833214047714,8,0.9378762648904829,0.9377481747149994,0.936467272960164,0.9360830024337133,0.9337858606557377,0.9363921151310194,0.001478875238325619
11,1.2426288604736329,0.015706575037603917,0.006575965881347656,0.00022834832876147387,4,0.7,"{'classify__max_depth': 4, 'classify__subsample': 0.7}",0.8898565573770492,0.8975409836065574,0.9026639344262295,0.8985655737704918,0.9036391594054332,0.8984532417171522,0.004886133243247225,15,0.9380043550659665,0.9368515434866146,0.9374919943640323,0.9377481747149994,0.9350665983606558,0.9370325331984537,0.0010550205824830046
12,1.3732762336730957,0.006859533266609014,0.006500053405761719,0.00010850863038390747,4,0.8,"{'classify__max_depth': 4, 'classify__subsample': 0.8}",0.8913934426229508,0.9021516393442623,0.8975409836065574,0.8975409836065574,0.9051768323936443,0.8987607763147946,0.0046886484602850975,13,0.9406942487511208,0.939797617522736,0.9383886255924171,0.9408223389266044,0.9376280737704918,0.939466180912674,0.0012646682359749178
