,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__C,param_classify__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.2918721675872802,0.011662964472673742,0.21853551864624024,0.0027684605432143528,0.1,rbf,"{'classify__C': 0.1, 'classify__kernel': 'rbf'}",0.8780737704918032,0.8760245901639344,0.8755122950819673,0.8755122950819673,0.8800615069195284,0.8770368915478401,0.0017830849082670637,8,0.878186243115153,0.8792109645190214,0.8792109645190214,0.878186243115153,0.8776895491803278,0.8784967928897354,0.0006106729015632455
1,1.1709596157073974,0.07800656025178335,0.09008321762084961,0.0005329464652525426,0.1,linear,"{'classify__C': 0.1, 'classify__kernel': 'linear'}",0.8816598360655737,0.8842213114754098,0.8790983606557377,0.8842213114754098,0.8862121988723731,0.8830826037089009,0.0024611435194162312,7,0.8842064813628795,0.8830536697835276,0.8844626617138466,0.8835660304854618,0.8823002049180327,0.8835178096527496,0.0007832402567036773
2,1.1914845943450927,0.13403933314870656,0.20370001792907716,0.004289788170088334,0.1,sigmoid,"{'classify__C': 0.1, 'classify__kernel': 'sigmoid'}",0.8760245901639344,0.8765368852459017,0.8760245901639344,0.8714139344262295,0.8774987186058432,0.8754997437211687,0.0021126442342933164,9,0.8761368003074165,0.8751120789035481,0.8775457922377353,0.8699884718842065,0.875640368852459,0.8748847024370731,0.0025785636862323343
3,1.295946216583252,0.020815878661439052,0.20357012748718262,0.003653321827404271,1.0,rbf,"{'classify__C': 1.0, 'classify__kernel': 'rbf'}",0.8857581967213115,0.8878073770491803,0.889344262295082,0.891905737704918,0.8923628908252178,0.8894356929191419,0.0024840837039647617,1,0.9044447290892789,0.9027795568079928,0.9012424747021903,0.901882925579608,0.9043288934426229,0.9029357159243385,0.001282020541596261
4,3.8330541133880613,0.7649547490113723,0.08965167999267579,0.001519411377192368,1.0,linear,"{'classify__C': 1.0, 'classify__kernel': 'linear'}",0.8811475409836066,0.8847336065573771,0.8790983606557377,0.8842213114754098,0.8867247565351102,0.8831851152414483,0.0027149165872499834,6,0.884334571538363,0.8824132189061099,0.884078391187396,0.8834379403099782,0.8825563524590164,0.8833640948801728,0.0007764161568506264
5,0.8400733947753907,0.09098376083489707,0.15670466423034668,0.007854228077900814,1.0,sigmoid,"{'classify__C': 1.0, 'classify__kernel': 'sigmoid'}",0.860655737704918,0.84375,0.8519467213114754,0.8555327868852459,0.849308047155305,0.8522386586113889,0.005699640996864046,12,0.8578199052132701,0.844754707313949,0.8565390034584347,0.8546176508261817,0.8404200819672131,0.8508302697558097,0.0069436786859226355
6,1.5386293888092042,0.017026339715368866,0.19940767288208008,0.001914188700359532,10,rbf,"{'classify__C': 10, 'classify__kernel': 'rbf'}",0.8842213114754098,0.8831967213114754,0.8842213114754098,0.8878073770491803,0.8933880061506919,0.8865669454924335,0.003753077347035785,2,0.9345459203279108,0.9330088382221083,0.9328807480466248,0.9337773792750096,0.9337858606557377,0.9335997493054784,0.0006045772346267212
7,23.96938900947571,6.473534574732713,0.09284920692443847,0.0016820261506297698,10,linear,"{'classify__C': 10, 'classify__kernel': 'linear'}",0.8811475409836066,0.8847336065573771,0.8796106557377049,0.8842213114754098,0.8867247565351102,0.8832875742578418,0.0025642374628141737,3,0.884334571538363,0.8822851287306264,0.884078391187396,0.8834379403099782,0.8825563524590164,0.8833384768450759,0.0008088054968036979
8,0.6969904422760009,0.053795005121057546,0.13781113624572755,0.006954076929999895,10,sigmoid,"{'classify__C': 10, 'classify__kernel': 'sigmoid'}",0.8468237704918032,0.8514344262295082,0.8206967213114754,0.8288934426229508,0.8323936442849821,0.8360484009881439,0.011428587885913801,13,0.8443704367874983,0.8442423466120148,0.8252850006404508,0.8291277059049571,0.8295338114754098,0.8345118602840662,0.008133620621283507
9,2.655397129058838,0.0318998230520956,0.19338512420654297,0.0011995026803631862,100,rbf,"{'classify__C': 100, 'classify__kernel': 'rbf'}",0.8760245901639344,0.8709016393442623,0.8755122950819673,0.8739754098360656,0.8805740645822655,0.8753975998016991,0.0031444663865043843,10,0.963750480338158,0.9659280133213782,0.9654156526194441,0.9677212757781478,0.9682377049180327,0.9662106253950322,0.0016220530799908612
10,338.3982826709747,142.50984235202336,0.0889503002166748,0.0009546652247382534,100,linear,"{'classify__C': 100, 'classify__kernel': 'linear'}",0.8816598360655737,0.8847336065573771,0.8796106557377049,0.8842213114754098,0.8862121988723731,0.8832875217416877,0.0023531071013108383,5,0.8844626617138466,0.8822851287306264,0.884078391187396,0.8834379403099782,0.8824282786885246,0.8833384801260744,0.0008670825529722319
11,0.6701939582824707,0.04109901059261443,0.1334547996520996,0.006593319558139199,100,sigmoid,"{'classify__C': 100, 'classify__kernel': 'sigmoid'}",0.8457991803278688,0.8514344262295082,0.8237704918032787,0.829405737704918,0.8257303946694003,0.8352280461469949,0.011222975042052517,14,0.8462917894197515,0.8442423466120148,0.8289996157294736,0.8268220827462534,0.8264600409836066,0.83456317509822,0.008806647957393828
12,5.862088918685913,0.1540314582948643,0.17625780105590821,0.0025119713534796913,1000,rbf,"{'classify__C': 1000, 'classify__kernel': 'rbf'}",0.8637295081967213,0.8683401639344263,0.8519467213114754,0.8601434426229508,0.8575089697590978,0.8603337611649344,0.00554962500262201,11,0.9866786217497118,0.987447162802613,0.9855258101703599,0.9889842449084155,0.9879610655737705,0.9873193810409742,0.001168531373357557
