,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__learning_rate,param_classify__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.5209003925323487,0.002785032634642718,0.001987600326538086,7.46832032689626e-05,2,20,"{'classify__learning_rate': 2, 'classify__n_estimators': 20}",0.9071229050279329,0.9532122905027933,0.8956005586592178,0.7663290254977296,0.8641285365001746,0.8772786632375696,0.062409990093491734,1,0.9079797450672255,0.9570455735987428,0.8917408765496769,0.7716281099956351,0.8564818856394587,0.8769752381701478,0.06181999199756979
1,0.7811718463897706,0.003900230340399422,0.0021998405456542967,0.00016578664551445462,2,30,"{'classify__learning_rate': 2, 'classify__n_estimators': 30}",0.9071229050279329,0.9532122905027933,0.8355446927374302,0.7663290254977296,0.8641285365001746,0.8652674900532121,0.06349759893553493,2,0.9083289680460974,0.9570455735987428,0.8283569058844072,0.7716281099956351,0.8564818856394587,0.8643682886328683,0.06400215036452314
2,1.0348943710327148,0.005625215814296047,0.0022651195526123048,6.291732139790439e-05,2,40,"{'classify__learning_rate': 2, 'classify__n_estimators': 40}",0.9067737430167597,0.9532122905027933,0.8355446927374302,0.7656304575619979,0.8641285365001746,0.8650579440638312,0.06366964355595003,5,0.9086781910249695,0.9570455735987428,0.8283569058844072,0.7712789175032737,0.8564818856394587,0.8643682947301705,0.0641515278938503
3,1.2918292999267578,0.008674062202188377,0.002530622482299805,0.00014039655330774192,2,50,"{'classify__learning_rate': 2, 'classify__n_estimators': 50}",0.9064245810055865,0.9532122905027933,0.8355446927374302,0.7659797415298638,0.8641285365001746,0.8650579684551698,0.06351499581608289,3,0.9086781910249695,0.9570455735987428,0.8283569058844072,0.771366215626364,0.8564818856394587,0.8643857543547885,0.06412619698145837
4,1.5528810501098633,0.00931734119888917,0.0028000831604003905,0.00020907646099994757,2,60,"{'classify__learning_rate': 2, 'classify__n_estimators': 60}",0.9060754189944135,0.9532122905027933,0.8355446927374302,0.7659797415298638,0.8641285365001746,0.8649881360529351,0.06346965211753745,6,0.9086781910249695,0.9570455735987428,0.8283569058844072,0.771366215626364,0.8564818856394587,0.8643857543547885,0.06412619698145837
5,1.8078381538391113,0.006635248847360319,0.002814483642578125,8.658966294844505e-05,2,70,"{'classify__learning_rate': 2, 'classify__n_estimators': 70}",0.9064245810055865,0.9532122905027933,0.8355446927374302,0.7659797415298638,0.8641285365001746,0.8650579684551698,0.06351499581608289,3,0.9083289680460974,0.9570455735987428,0.8283569058844072,0.771366215626364,0.8564818856394587,0.864315909759014,0.06407808890490455
6,0.5184266090393066,0.003340297831964644,0.0020684719085693358,0.00010292808128225426,3,20,"{'classify__learning_rate': 3, 'classify__n_estimators': 20}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
7,0.7795982360839844,0.0043266017817402795,0.002390480041503906,0.00028550596874279103,3,30,"{'classify__learning_rate': 3, 'classify__n_estimators': 30}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
8,1.0371854782104493,0.005506906489737678,0.0025304317474365234,0.00015059590980865043,3,40,"{'classify__learning_rate': 3, 'classify__n_estimators': 40}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
9,1.2953983783721923,0.004779615339037157,0.00272517204284668,0.00013521670883186236,3,50,"{'classify__learning_rate': 3, 'classify__n_estimators': 50}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
10,1.550157070159912,0.004025429954525851,0.0029154300689697267,0.00018159323829358058,3,60,"{'classify__learning_rate': 3, 'classify__n_estimators': 60}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
11,1.8043725967407227,0.007073551435560564,0.0031599998474121094,0.00017125027491559852,3,70,"{'classify__learning_rate': 3, 'classify__n_estimators': 70}",0.884427374301676,0.9605446927374302,0.02094972067039106,0.904994760740482,0.11770869717079986,0.5777250491241558,0.41697397290147414,13,0.8803038239916187,0.9576567138117689,0.022350270647808625,0.9055434308162374,0.11828895678742907,0.5768286392109725,0.41542400651946965
12,0.5099268436431885,0.015044871623681387,0.0021485805511474608,0.00013480544886700305,4,20,"{'classify__learning_rate': 4, 'classify__n_estimators': 20}",0.14664804469273743,0.6403631284916201,0.5935754189944135,0.8899755501222494,0.1784841075794621,0.48980924997609654,0.28574461081227,21,0.15138816134101624,0.6518246900646063,0.5973459053605727,0.8909646442601484,0.18472282845918814,0.49524924589710634,0.28502539377760316
