,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__C,param_classify__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3539534091949463,0.0055533480667517825,0.06392593383789062,0.0010592756832195915,0.1,rbf,"{'classify__C': 0.1, 'classify__kernel': 'rbf'}",0.9762569832402235,0.9793994413407822,0.9745111731843575,0.977645826056584,0.9752008382815229,0.9766028524206941,0.0017532310034492052,10,0.9764274489261393,0.9766893661602933,0.9773878121180374,0.9769532955041467,0.9768659973810563,0.9768647840179346,0.0003173098032629011
1,0.12973599433898925,0.0012489265414544876,0.019553422927856445,0.0005702605801858413,0.1,linear,"{'classify__C': 0.1, 'classify__kernel': 'linear'}",0.979050279329609,0.9800977653631285,0.9769553072625698,0.9786936779601816,0.9765979741529863,0.9782790008136951,0.0013155035098781427,9,0.9778243408416274,0.9777370350969093,0.9783481753099353,0.9784373635966827,0.9784373635966827,0.9781568556883675,0.00031009289677979304
2,0.8617772579193115,0.016971263773612272,0.15604658126831056,0.004271163667378802,0.1,sigmoid,"{'classify__C': 0.1, 'classify__kernel': 'sigmoid'}",0.8756983240223464,0.8669692737430168,0.8770949720670391,0.8732099196646874,0.8805448829898708,0.8747034744973922,0.004536068930830004,11,0.8734066701588965,0.8775100401606426,0.8748035620743845,0.874814491488433,0.8744652989960716,0.8750000125756856,0.0013563117650366992
3,0.30848445892333987,0.004624282070485006,0.0484105110168457,0.0009958347011722077,1.0,rbf,"{'classify__C': 1.0, 'classify__kernel': 'rbf'}",0.9787011173184358,0.9811452513966481,0.9793994413407822,0.9793922458959133,0.977645826056584,0.9792567764016727,0.0011409610954360634,7,0.9794831499912694,0.9791339270123974,0.9799196787148594,0.980008729812309,0.9803579223046704,0.9797806815671011,0.00042693080727063945
4,0.19385232925415039,0.011823699073487797,0.018556737899780275,0.0006806818382468317,1.0,linear,"{'classify__C': 1.0, 'classify__kernel': 'linear'}",0.9814944134078212,0.9804469273743017,0.9783519553072626,0.9786936779601816,0.977645826056584,0.9793265600212303,0.0014233813279077932,6,0.9786973982888074,0.9791339270123974,0.9792212327571154,0.9794849410737669,0.9792230467044959,0.9791521091673164,0.00025599994398092834
5,0.8549978256225585,0.035200950178605604,0.1492537498474121,0.002254835932070576,1.0,sigmoid,"{'classify__C': 1.0, 'classify__kernel': 'sigmoid'}",0.8736033519553073,0.8648743016759777,0.8739525139664804,0.8711142158574922,0.8784491791826755,0.8723987125275865,0.00444387875995654,12,0.8710494150515103,0.8755893137768466,0.8722716954775624,0.8729812309035355,0.8719336534264513,0.8727650617271813,0.0015428040891422709
6,0.4025230884552002,0.02376291454157975,0.04353718757629395,0.0007389768747984095,10,rbf,"{'classify__C': 10, 'classify__kernel': 'rbf'}",0.9800977653631285,0.9811452513966481,0.9787011173184358,0.9807893817673768,0.9779951100244498,0.9797457251740079,0.0012105935735234425,2,0.9811419591409115,0.9813165706303475,0.9816657936092195,0.9821911828895679,0.9818419903972064,0.9816314993334505,0.00037351250485333004
7,0.5754767894744873,0.02118388488941693,0.018344831466674805,0.0005023063688629477,10,linear,"{'classify__C': 10, 'classify__kernel': 'linear'}",0.9814944134078212,0.9804469273743017,0.979050279329609,0.9786936779601816,0.9779951100244498,0.9795360816192726,0.0012637202719777362,4,0.9787847040335254,0.9792212327571154,0.9793958442465515,0.9796595373199476,0.9793976429506766,0.9792917922615633,0.00028961516763263446
8,0.8516271591186524,0.037967121270406884,0.14985041618347167,0.0025163040091924146,10,sigmoid,"{'classify__C': 10, 'classify__kernel': 'sigmoid'}",0.8739525139664804,0.8648743016759777,0.8736033519553073,0.8707649318896262,0.8777506112469438,0.872189142146867,0.004279595169615794,13,0.8706128863279203,0.8752400907979745,0.8724463069669984,0.8728939327804452,0.8716717590571803,0.8725729951861038,0.0015418627139397306
9,0.9295004844665528,0.061772676319038156,0.04267716407775879,0.0006202906073406942,100,rbf,"{'classify__C': 100, 'classify__kernel': 'rbf'}",0.9807960893854749,0.9818435754189944,0.9780027932960894,0.9793922458959133,0.9793922458959133,0.9798853899784771,0.0013186672112578208,1,0.9839357429718876,0.9846341889296316,0.9839357429718876,0.9851593190746399,0.9841117415975557,0.9843553471091203,0.00047657162975525317
10,2.9409365177154543,0.1495493670221093,0.018841361999511717,0.00045200321078544035,100,linear,"{'classify__C': 100, 'classify__kernel': 'linear'}",0.9814944134078212,0.9800977653631285,0.979050279329609,0.9790429619280475,0.9779951100244498,0.9795361060106111,0.0011835807002265764,3,0.9787847040335254,0.9792212327571154,0.9793958442465515,0.9796595373199476,0.9794849410737669,0.9793092518861813,0.00029798074750738687
11,0.8495246887207031,0.03718286220916215,0.14985227584838867,0.0026602525611009267,100,sigmoid,"{'classify__C': 100, 'classify__kernel': 'sigmoid'}",0.8739525139664804,0.8648743016759777,0.8736033519553073,0.8707649318896262,0.8777506112469438,0.872189142146867,0.004279595169615794,13,0.8706128863279203,0.8752400907979745,0.8724463069669984,0.8728939327804452,0.8714971628109995,0.8725380759368676,0.0015637004260789429
