,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__criterion,param_classify__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.021025419235229492,0.0006389697095750507,0.0012090206146240234,8.210036462249769e-05,gini,2,"{'classify__criterion': 'gini', 'classify__max_depth': 2}",0.9776536312849162,0.9800977653631285,0.9766061452513967,0.9772965420887181,0.9758994062172547,0.9775106980410827,0.001426442224822807,5,0.9777370350969093,0.9771258948838834,0.9779116465863453,0.9777389786119598,0.9781754692274116,0.977737804881302,0.00034531343252774976
1,0.03828020095825195,0.0012302424870692331,0.0011875152587890625,5.779758123997439e-05,gini,4,"{'classify__criterion': 'gini', 'classify__max_depth': 4}",0.9821927374301676,0.9807960893854749,0.9787011173184358,0.9797415298637793,0.9779951100244498,0.9798853168044614,0.001493290421617706,1,0.9801815959490134,0.9801815959490134,0.9818404050986554,0.9809690091663029,0.981492797904845,0.9809330808135661,0.0006733899955325217
2,0.05365023612976074,0.0008912703827957728,0.0012545585632324219,6.625600408300664e-05,gini,6,"{'classify__criterion': 'gini', 'classify__max_depth': 6}",0.979050279329609,0.9818435754189944,0.9748603351955307,0.977645826056584,0.9783443939923158,0.9783488819986068,0.0022525144579115764,2,0.9842849659507595,0.9845468831849136,0.9857691636109656,0.9844609340899171,0.9843736359668267,0.9846871165606764,0.0005480227959807813
3,0.0677274227142334,0.0019909480064768813,0.0014974117279052735,0.0002671694215033169,gini,8,"{'classify__criterion': 'gini', 'classify__max_depth': 8}",0.9724162011173184,0.9783519553072626,0.9741620111731844,0.9758994062172547,0.9755501222493888,0.9752759392128818,0.0019669621302292675,8,0.9892613933996857,0.9889994761655317,0.9890867819102497,0.9891750327367962,0.987167175905718,0.9887379720235963,0.0007902461896381564
4,0.07572999000549316,0.0029838878016772456,0.0013392448425292968,7.619783188665981e-05,gini,10,"{'classify__criterion': 'gini', 'classify__max_depth': 10}",0.9710195530726257,0.9762569832402235,0.9731145251396648,0.9762486901851205,0.9762486901851205,0.9745776883645509,0.0021543304679856826,10,0.9923170944648158,0.9923170944648158,0.9915313427623538,0.9924050632911392,0.9914447839371453,0.9920030757840539,0.00042261832654877325
5,0.082893705368042,0.00433367222714276,0.0014055728912353515,4.513172389546059e-05,gini,12,"{'classify__criterion': 'gini', 'classify__max_depth': 12}",0.9678770949720671,0.9745111731843575,0.9720670391061452,0.9752008382815229,0.9731051344743277,0.9725522560036841,0.00257878208911603,11,0.9954601012746639,0.9949362668063558,0.9935393748908679,0.9951986032300305,0.994587516368398,0.9947443725140632,0.0006681376720157341
6,0.08509974479675293,0.0021994994432765675,0.0013921260833740234,8.421138618618604e-05,gini,14,"{'classify__criterion': 'gini', 'classify__max_depth': 14}",0.9678770949720671,0.9731145251396648,0.9689245810055865,0.9731051344743277,0.9727558505064617,0.9711554372196215,0.0022770557697149893,13,0.9972062161690239,0.9965950759559979,0.9967696874454339,0.9973810563072893,0.9972064600611087,0.9970316991877708,0.00029743501347353346
7,0.08698835372924804,0.0042269728968714945,0.0014735221862792968,0.00021270789024274201,gini,16,"{'classify__criterion': 'gini', 'classify__max_depth': 16}",0.9636871508379888,0.9731145251396648,0.9650837988826816,0.9717079986028642,0.9724065665385959,0.9692000080003591,0.003980709749490905,14,0.9986031080845119,0.9984284965950759,0.9986031080845119,0.9987778262767351,0.998515931907464,0.9985856941896598,0.00011584393476730178
8,0.0873136043548584,0.0030429189817207376,0.0014177799224853516,3.970728123000851e-05,gini,18,"{'classify__criterion': 'gini', 'classify__max_depth': 18}",0.9664804469273743,0.9703212290502793,0.9643854748603352,0.9710094306671324,0.9717079986028642,0.968780916021597,0.002846707404874617,17,0.999388859786974,0.999301554042256,0.999388859786974,0.999738105630729,0.9992143168921869,0.9994063392278238,0.0001780632024307204
9,0.0871546745300293,0.0033063164807054634,0.0014158725738525391,4.74155994422523e-05,gini,20,"{'classify__criterion': 'gini', 'classify__max_depth': 20}",0.9629888268156425,0.9706703910614525,0.9696229050279329,0.9713587146349982,0.9699615787635347,0.9689204832607121,0.0030255238856450807,15,0.999738082765846,1.0,0.999738082765846,1.0,0.9995635093845482,0.999807934983248,0.00016928111481888028
10,0.03339066505432129,0.0008017879859805026,0.0012124538421630859,0.0001485753424951859,entropy,2,"{'classify__criterion': 'entropy', 'classify__max_depth': 2}",0.9776536312849162,0.9787011173184358,0.9762569832402235,0.9765979741529863,0.9755501222493888,0.9769519656491902,0.001106828050973426,6,0.9776497293521914,0.9769512833944474,0.9775624236074734,0.9771278917503273,0.9777389786119598,0.9774060613432798,0.0003094700209078789
11,0.060741424560546875,0.0008445049122397263,0.001253366470336914,5.9927637437919754e-05,entropy,4,"{'classify__criterion': 'entropy', 'classify__max_depth': 4}",0.9787011173184358,0.9793994413407822,0.9766061452513967,0.9797415298637793,0.9762486901851205,0.9781393847919029,0.0014419226299468425,4,0.9789593155229614,0.9789593155229614,0.9799196787148594,0.9793103448275862,0.9801833260584898,0.9794663961293717,0.0005016108286621072
12,0.08271794319152832,0.001520983602495377,0.0013548374176025391,5.694334160533056e-05,entropy,6,"{'classify__criterion': 'entropy', 'classify__max_depth': 6}",0.9776536312849162,0.9783519553072626,0.9759078212290503,0.9807893817673768,0.9779951100244498,0.9781395799226111,0.0015687139711729676,3,0.9833246027588616,0.9834992142482976,0.9842849659507595,0.9834133566128328,0.9835006547359232,0.9836045588613349,0.0003463469593506432
